map,map_number,match_type,match_date,match_id,event_name,head2head_team1_wins,head2head_team2_wins,head2head_map_team1,head2head_map_team2,team_1_players_id,team2_players_id,team_1_players_name,team_2_players_name,map_pick_team_1,map_pick_team_2,team1, team1_id,team1_rank,team1_result,team1_wins_1_month,team1_loses_1_month,team1_wins_3_month,team1_loses_3_month,team1_wr_1_month,team1_wr_3_month,team1_map_played_in_1_month,team1_map_played_in_3_month,team1_last_map_win,team_2,team_2_id,team2_rank,team2_result,team2_wins_1_month,team2_loses_1_month,team2_wins_3_month,team2_loses_3_month,team2_wr_1_month,team2_wr_3_month,team2_map_played_in_1_month,team2_map_played_in_3_month,team2_last_map_win,map_winner_team1,map_winner_team2
de_inferno,1,bo3,2022-02-02,2354212,ESL Challenger League Season 40 North America,0,0,0,0,13250 15090 16546 12102 12113,11039 19846 9571 17918 20333,ben1337 pwnalone cynic djay jonji,jazzpimp clasia cj nosrac jeorgesnorts,0,1,party astronauts,8038,32,19,3,0,12,5,1.0,0.7058823529411765,3,17,0,chococheck,11075,49,17,2,2,9,7,0.5625,0,4,16,0,1,0
de_nuke,2,bo3,2022-02-02,2354212,ESL Challenger League Season 40 North America,0,0,0,0,13250 15090 16546 12102 12113,11039 19846 9571 17918 20333,ben1337 pwnalone cynic djay jonji,jazzpimp clasia cj nosrac jeorgesnorts,1,0,party astronauts,8038,32,11,4,1,14,7,0.8,0.6666666666666666,5,21,0,chococheck,11075,49,16,1,0,2,1,0.6666666666666666,0,1,3,0,0,1
de_dust2,3,bo3,2022-02-02,2354212,ESL Challenger League Season 40 North America,0,0,0,0,13250 15090 16546 12102 12113,11039 19846 9571 17918 20333,ben1337 pwnalone cynic djay jonji,jazzpimp clasia cj nosrac jeorgesnorts,0,0,party astronauts,8038,32,16,2,0,4,1,1.0,0.8,2,5,0,chococheck,11075,49,14,0,1,2,4,0.3333333333333333,0,1,6,0,1,0
de_inferno,1,bo3,2022-02-02,2354221,Liga Gamers Club 2022 Serie A January Cup,0,1,0,0,14011 18610 20885 16835 21700,17132 17133 18891 13290 20521,r4ul detr0ittj freq ponter brn,leomonster desh cutzmeretz demonos alisson,0,1,black dragons,7081,202,16,1,2,1,2,0.3333333333333333,0.3333333333333333,3,3,0,meta br,11249,155,10,0,1,1,2,0.3333333333333333,0,1,3,0,1,0
de_overpass,2,bo3,2022-02-02,2354221,Liga Gamers Club 2022 Serie A January Cup,0,1,0,0,14011 18610 20885 16835 21700,17132 17133 18891 13290 20521,r4ul detr0ittj freq ponter brn,leomonster desh cutzmeretz demonos alisson,1,0,black dragons,7081,202,16,1,0,1,0,1.0,1.0,1,1,0,meta br,11249,155,13,0,1,0,1,0.0,0,1,1,0,1,0
de_dust2,1,bo3,2022-02-01,2354220,Liga Gamers Club 2022 Serie A January Cup,3,3,2,1,15920 19275 11733 10810 19831,16831 16775 20522 21099 21762,kurg4n lealzinho brnz1k fp1 proshow,w1 danviet gbb bsd cso,1,0,redragon,11015,149,19,4,1,5,1,0.8,0.8333333333333334,5,6,1,sws,10709,153,16,2,2,5,5,0.5,0,4,10,1,1,0
de_inferno,2,bo3,2022-02-01,2354220,Liga Gamers Club 2022 Serie A January Cup,3,3,1,2,15920 19275 11733 10810 19831,16831 16775 20522 21099 21762,kurg4n lealzinho brnz1k fp1 proshow,w1 danviet gbb bsd cso,0,1,redragon,11015,149,9,2,2,2,3,0.5,0.4,4,5,1,sws,10709,153,16,4,1,7,6,0.5384615384615384,0,5,13,1,0,1
de_vertigo,3,bo3,2022-02-01,2354220,Liga Gamers Club 2022 Serie A January Cup,3,3,1,1,15920 19275 11733 10810 19831,16831 16775 20522 21099 21762,kurg4n lealzinho brnz1k fp1 proshow,w1 danviet gbb bsd cso,0,0,redragon,11015,149,16,3,1,3,1,0.75,0.75,4,4,1,sws,10709,153,3,1,3,2,7,0.2222222222222222,0,4,9,1,1,0
de_vertigo,1,bo3,2022-02-01,2354171,ESL Challenger League Season 40 Europe,4,12,0,1,20113 16948 7594 18456 17508,12269 13976 14273 19812 19235,deko travis flamie fostar glowiing,jyo box idisbalance chill belchonokk,0,1,1win,10621,41,19,3,3,9,9,0.5,0.5,6,18,0,nemiga,7969,40,17,2,2,5,3,0.625,0,4,8,1,1,0
de_dust2,2,bo3,2022-02-01,2354171,ESL Challenger League Season 40 Europe,4,12,1,1,20113 16948 7594 18456 17508,12269 13976 14273 19812 19235,deko travis flamie fostar glowiing,jyo box idisbalance chill belchonokk,1,0,1win,10621,41,16,4,1,6,2,0.8,0.75,5,8,1,nemiga,7969,40,8,0,2,2,3,0.4,0,2,5,1,1,0
de_mirage,1,bo3,2022-02-01,2354179,Elisa Invitational Winter 2021 Main Qualifier,5,9,1,0,29 7148 16029 9261 12840,4076 7248 9271 11283 18643,f0rest friberg heap lekr0 hallzerk,aerial xseven slowi ottond sm1llee,0,1,dignitas,5422,29,16,2,4,6,12,0.3333333333333333,0.3333333333333333,6,18,1,havu,7865,78,19,1,0,1,5,0.16666666666666666,0,1,6,0,0,1
de_nuke,2,bo3,2022-02-01,2354179,Elisa Invitational Winter 2021 Main Qualifier,5,9,0,1,29 7148 16029 9261 12840,4076 7248 9271 11283 18643,f0rest friberg heap lekr0 hallzerk,aerial xseven slowi ottond sm1llee,1,0,dignitas,5422,29,16,4,0,11,3,1.0,0.7857142857142857,4,14,0,havu,7865,78,14,0,1,3,2,0.6,0,1,5,1,1,0
